,ENSG00000184677.16,ENSG00000162419.12,ENSG00000117000.8,ENSG00000162367.11,ENSG00000177606.6,ENSG00000143437.20,ENSG00000143614.9,ENSG00000158773.14,ENSG00000143842.14,ENSG00000162772.16,ENSG00000185155.11,ENSG00000084676.15,ENSG00000169554.18,ENSG00000115966.16,ENSG00000115415.18,ENSG00000134107.4,ENSG00000177463.15,ENSG00000186448.14,ENSG00000164048.13,ENSG00000187098.14,ENSG00000114861.18,ENSG00000175105.6,ENSG00000179348.11,ENSG00000085274.15,ENSG00000136603.13,ENSG00000121864.9,ENSG00000113916.17,ENSG00000114315.3,ENSG00000084093.16,ENSG00000138795.9,ENSG00000175745.11,ENSG00000081059.19,ENSG00000120738.7,ENSG00000096654.15,ENSG00000204231.10,ENSG00000007866.19,ENSG00000181472.4,ENSG00000146587.17,ENSG00000205903.6,ENSG00000006468.13,ENSG00000185811.16,ENSG00000106261.16,ENSG00000170265.11,ENSG00000147421.17,ENSG00000140396.12,ENSG00000136997.16,ENSG00000107175.11,ENSG00000186350.9,ENSG00000107485.15,ENSG00000095794.19,ENSG00000122877.15,ENSG00000166478.9,ENSG00000110693.17,ENSG00000066336.11,ENSG00000173153.13,ENSG00000175592.8,ENSG00000170325.14,ENSG00000111206.12,ENSG00000197905.8,ENSG00000126746.17,ENSG00000134532.15,ENSG00000189079.15,ENSG00000123268.8,ENSG00000185591.9,ENSG00000170653.18,ENSG00000123405.13,ENSG00000120798.16,ENSG00000120690.15,ENSG00000276644.4,ENSG00000198824.5,ENSG00000215271.7,ENSG00000129514.5,ENSG00000125952.18,ENSG00000170345.9,ENSG00000100811.12,ENSG00000134138.19,ENSG00000174197.16,ENSG00000140265.12,ENSG00000140262.17,ENSG00000140382.14,ENSG00000166716.9,ENSG00000185551.14,ENSG00000167967.15,ENSG00000102974.14,ENSG00000072736.18,ENSG00000070444.14,ENSG00000131759.17,ENSG00000126561.16,ENSG00000108924.13,ENSG00000136451.8,ENSG00000141568.20,ENSG00000172466.15,ENSG00000141646.13,ENSG00000116017.10,ENSG00000129911.8,ENSG00000141905.17,ENSG00000178951.8,ENSG00000171223.5,ENSG00000132024.17,ENSG00000132005.8,ENSG00000160113.5,ENSG00000130522.5,ENSG00000167491.17,ENSG00000245848.2,ENSG00000153879.8,ENSG00000105698.15,ENSG00000170608.2,ENSG00000142556.18,ENSG00000196214.10,ENSG00000215397.3,ENSG00000125846.15,ENSG00000125798.14,ENSG00000101076.16,ENSG00000172216.5,ENSG00000154727.10,ENSG00000185022.11,ENSG00000128272.14,ENSG00000102145.13,ENSG00000177485.6,ENSG00000130234.10
GTEX-147JS-1226-SM-5RQK4,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0
GTEX-13RTJ-1126-SM-5S2UJ,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
GTEX-131XF-1026-SM-5BC6A,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
GTEX-1AX9I-0826-SM-73KUT,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0
GTEX-1HT8W-1426-SM-CE6S2,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0
GTEX-1C6WA-0726-SM-7IGQ5,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1
GTEX-13FTZ-0526-SM-5IJCW,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0
GTEX-WY7C-0426-SM-3NB3C,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1
GTEX-U412-0826-SM-3DB9K,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1
GTEX-WFG8-0926-SM-3GIKJ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GTEX-ZT9X-0326-SM-51MTE,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
GTEX-111CU-0326-SM-5GZXO,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0
GTEX-11OF3-1126-SM-5986C,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0
GTEX-U8XE-1426-SM-3DB8Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
GTEX-R55C-0526-SM-3GIKA,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1
GTEX-14BIL-1226-SM-79OME,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0
